advise	coadministration of <e10> drug1 </e10> and <e22> drug2 </e22> is contraindicated .
advise	when <e11> drug1 </e11> is given concomitantly with an mao _ inhibitor ( eg , tricyclic _ antidepressants [ tcas ] , <e20> drug2 </e20> ) , a reduction in mao _ inhibition should be considered .
advise	<e11> drug1 </e11> should not be used with other <e22> drug2 </e22> ( including alcohol , barbiturates , opiates , sedatives , anesthetics , and tranquilizers ) .
advise	cyclosporine , tacrolimus and <e10> drug1 </e10> should not be used concomitantly with <e21> drug2 </e21> .
advise	nevertheless , caution is advised when <e10> drug1 </e10> is used concomitantly with <e21> drug2 </e21> .
advise	therefore , co - administration of <e10> drug1 </e10> with other drugs that may prolong the qt interval ( e , g , , atypical _ agonists , opiates , phenothiazines , <e20> drug2 </e20> , and type _ 1c _ antiarrhythmics ) should be approached with caution .
advise	at least # weeks of <e10> drug1 </e10> therapy should be continued if possible in patients who are receiving <e22> drug2 </e22> .
advise	drugs that should not be coadministered with <e11> drug1 </e11> antimigraine _ agents : phenytoin , hydroxyzine antimigraine _ agents : rasagiline antimigraine _ agents : <e20> drug2 </e20> ( e , g , , magnesium / choline _ salts ) , nefazodone
advise	dose reduction of <e10> drug1 </e10> and <e20> drug2 </e20> is not recommended when coadministered .
advise	caution should be used when <e11> drug1 </e11> is administered to patients receiving <e20> drug2 </e20> .
advise	caution should be exercised when administering <e10> drug1 </e10> with cns _ depressants such as <e21> drug2 </e21> or opioids , since the effects of drug1 may be additive or potentiated .
advise	additionally , <e11> drug1 </e11> should be given with caution to patients receiving <e20> drug2 </e20> , because drug2 binds to the same site on its own as the protease inhibitors of the bapta / dextra family , such as protease _ inhibitors ( e , g , , famotidine ) .
advise	a dose increase of <e10> drug1 </e10> to 400 mg every 8 hours is recommended when coadministered with <e20> drug2 </e20> or cimetidine .
advise	monoamine _ oxidase _ inhibitors and tricyclic _ antidepressants : <e10> drug1 </e10> should not be given with other <e22> drug2 </e22> or antidepressants .
advise	the benefits and risks of <e10> drug1 </e10> in combination with <e22> drug2 </e22> should be weighed against the potential benefits of its prothrombin time - enhancing effects .
advise	however , as with other cyp3a4 inhibitors , co - administration of <e10> drug1 </e10> with <e20> drug2 </e20> is contraindicated .
advise	dosage adjustment of <e10> drug1 </e10> may be required in patients taking <e20> drug2 </e20> .
advise	a 5 - mg <e10> drug1 </e10> dose should not be exceeded during # days of # days of # treatment with <e22> drug2 </e22> .
advise	particular caution is advised when administering <e10> drug1 </e10> to patients who are on <e22> drug2 </e22> or warfarin .
advise	caution should be exercised when <e10> drug1 </e10> is administered concomitantly with <e21> drug2 </e21> .
advise	nevertheless , caution is advised in the co - administration of <e11> drug1 </e11> with <e20> drug2 </e20> as drug2 has been shown to increase the clearance of flecainide .
advise	theophylline serum levels should be monitored regularly when <e11> drug1 </e11> is co - administered with <e20> drug2 </e20> .
advise	close supervision and careful monitoring are advised when administering <e10> drug1 </e10> to patients receiving <e22> drug2 </e22> .
advise	because prostaglandina play an important role in platelet function and blood coagulation , in addition to <e10> drug1 </e10> , other agents with a role in platelet function , such as thienopyridine _ antagonists , calcium _ channel _ blockers , and antiplatelet _ agents ( e , g , , aspirin ) , should also be given with caution in patients receiving <e20> drug1 </e20> .
advise	therefore , co - administration of <e10> drug1 </e10> and other <e20> drug2 </e20> ( eg , fluoxetine , paroxetine , desipramine , fluvoxamine ) is contraindicated .
advise	a dose adjustment of <e11> drug1 </e11> to a dose of 1 . 5 mg twice daily is recommended when used in combination with <e22> drug2 </e22> .
advise	caution should be exercised if <e10> drug1 </e10> is coadministered with <e20> drug2 </e20> .
advise	drugs that should not be coadministered with <e11> drug1 </e11> antimigraine _ agents : valsartan , phenytoin , indinavir , <e20> drug2 </e20> antimycobacterial _ agents : rifampin antimycobacterial _ agents : rifabutin antimycobacterial _ agents : macrolide _ antimycobacterial _ agents : rifabutin antimycobacterial _ agents : cisapride
advise	itraconazole plasma concentrations should be monitored closely if <e11> drug1 </e11> is administered concomitantly with <e22> drug2 </e22> .
advise	drug1 dose should be reduced to half its normal dose when <e10> drug1 </e10> is administered concomitantly with <e20> drug2 </e20> .
advise	dosage adjustment of <e10> drug1 </e10> is advised when co - administered with <e21> drug2 </e21> .
advise	concomitant administration of <e10> drug1 </e10> and <e20> drug2 </e20> is not recommended .
advise	<e10> drug1 </e10> should not be used concomitantly with <e21> drug2 </e21> , quinidine , or isocarboxazid </e21> .
